Label,String
SavedLv3_01,"SavedLv3_01"
Talk1032,"Talk1032"
Thanks00,"Thanks00"
Talk1033,"Talk1033"
SavedLv1_00,"SavedLv1_00"
Talk1021,"Talk1021"
Talk1034,"Talk1034"
SavedLv1_01,"SavedLv1_01"
Talk1035,"Talk1035"
Atacked00,"Atacked00"
Talk1036,"Talk1036"
Atacked01,"Atacked01"
Talk1037,"Talk1037"
Talk1038,"Talk1038"
Talk1039,"Talk1039"
Talk1001,"Talk1001"
SavedLv2_00,"SavedLv2_00"
Talk1002,"Talk1002"
SavedLv2_01,"SavedLv2_01"
Talk1003,"Talk1003"
Talk1004,"Talk1004"
Talk1040,"Talk1040"
Talk1005,"Talk1005"
EnokidaSignboard,"EnokidaSignboard"
Talk1041,"Talk1041"
Talk1042,"Talk1042"
SavedLv3_00,"SavedLv3_00"
Guardian00,"Guardian00"
