Label,String
Talk1031,"Talk1031"
Talk1032,"Talk1032"
near00,"near00"
Talk1033,"Talk1033"
Talk1020,"Talk1020"
near01,"near01"
Talk1021,"Talk1021"
near02,"near02"
Talk1022,"Talk1022"
WakkaCharm,"WakkaCharm"
LargeHorse,"LargeHorse"
Talk1023,"Talk1023"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
Talk1025,"Talk1025"
Talk1012,"Talk1012"
Talk1013,"Talk1013"
Talk1026,"Talk1026"
BoneHorse,"BoneHorse"
Talk1014,"Talk1014"
0000,"0000"
Talk1027,"Talk1027"
0001,"0001"
Talk1028,"Talk1028"
Talk1029,"Talk1029"
Talk1004,"Talk1004"
Talk1018,"Talk1018"
GoldHorse,"GoldHorse"
Talk1019,"Talk1019"
Talk1007,"Talk1007"
Talk1030,"Talk1030"
