Label,String
Talk_PointB_01,"Talk_PointB_01"
Talk_PointA_00,"Talk_PointA_00"
Balloon_Between_A_Rest_Back,"Balloon_Between_A_Rest_Back"
SavedLv2_00,"SavedLv2_00"
Talk_PointA_01,"Talk_PointA_01"
Talk_Between_B_Rest_00,"Talk_Between_B_Rest_00"
SavedLv2_01,"SavedLv2_01"
Talk_PointA_02,"Talk_PointA_02"
Talk_Between_B_Rest_01,"Talk_Between_B_Rest_01"
TerrorEnemy_00,"TerrorEnemy_00"
Talk_PointA_03,"Talk_PointA_03"
Talk_Between_A_Rest_00,"Talk_Between_A_Rest_00"
Greeting_Morning,"Greeting_Morning"
TerrorEnemy_01,"TerrorEnemy_01"
Talk_Between_A_Rest_01,"Talk_Between_A_Rest_01"
Balloon_PointRest,"Balloon_PointRest"
TerrorEnemy_02,"TerrorEnemy_02"
Talk_PointRest_00,"Talk_PointRest_00"
Talk_PointRest_01,"Talk_PointRest_01"
Balloon_Between_B_Rest_Back,"Balloon_Between_B_Rest_Back"
Atacked00,"Atacked00"
Atacked01,"Atacked01"
Talk_Between_A_Rest_00_Back,"Talk_Between_A_Rest_00_Back"
Greeting_Evening,"Greeting_Evening"
Balloon_PointA,"Balloon_PointA"
Guardian00,"Guardian00"
Balloon_PointB,"Balloon_PointB"
Failed00,"Failed00"
SavedLv3_00,"SavedLv3_00"
Failed01,"Failed01"
Thanks00,"Thanks00"
ClearTerrorEnemy_00,"ClearTerrorEnemy_00"
SavedLv1_00,"SavedLv1_00"
SavedLv3_01,"SavedLv3_01"
ClearTerrorEnemy_01,"ClearTerrorEnemy_01"
SavedLv1_01,"SavedLv1_01"
ClearTerrorEnemy_02,"ClearTerrorEnemy_02"
Talk_Between_A_Rest_01_Back,"Talk_Between_A_Rest_01_Back"
Talk_Between_B_Rest_00_Back,"Talk_Between_B_Rest_00_Back"
Balloon_Between_A_Rest,"Balloon_Between_A_Rest"
ClearTerrorGuardian_00,"ClearTerrorGuardian_00"
EnokidaSignboard,"EnokidaSignboard"
ClearTerrorGuardian_01,"ClearTerrorGuardian_01"
Greeting_Noon,"Greeting_Noon"
ClearTerrorGuardian_02,"ClearTerrorGuardian_02"
Talk_Between_B_Rest_01_Back,"Talk_Between_B_Rest_01_Back"
Balloon_Between_B_Rest,"Balloon_Between_B_Rest"
Talk_PointB_00,"Talk_PointB_00"
TerrorAnimal,"TerrorAnimal"
