Label,String
Talk_43,"Talk_43"
Talk_3011,"Talk_3011"
Talk_44,"Talk_44"
Talk_45,"Talk_45"
Talk_46,"Talk_46"
Talk_47,"Talk_47"
Talk_48,"Talk_48"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_28,"Talk_28"
Talk_29,"Talk_29"
Talk_01,"Talk_01"
Near_03,"Near_03"
Talk_02,"Talk_02"
Talk_31,"Talk_31"
Near_04,"Near_04"
Talk_03,"Talk_03"
Talk_32,"Talk_32"
Talk_3000,"Talk_3000"
Talk_04,"Talk_04"
Talk_33,"Talk_33"
Talk_3001,"Talk_3001"
Near_06,"Near_06"
Talk_05,"Talk_05"
Talk_34,"Talk_34"
Talk_3002,"Talk_3002"
Talk_06,"Talk_06"
Talk_35,"Talk_35"
Talk_3003,"Talk_3003"
Talk_07,"Talk_07"
Talk_36,"Talk_36"
Talk_3004,"Talk_3004"
Talk_08,"Talk_08"
Talk_37,"Talk_37"
Talk_3005,"Talk_3005"
Talk_09,"Talk_09"
Talk_38,"Talk_38"
Talk_3006,"Talk_3006"
Talk_3007,"Talk_3007"
Talk_40,"Talk_40"
Talk_3008,"Talk_3008"
Talk_41,"Talk_41"
Talk_3009,"Talk_3009"
Talk_42,"Talk_42"
Talk_3010,"Talk_3010"
