Label,String
TerrorLightning_01,"TerrorLightning_01"
TerrorLightning_02,"TerrorLightning_02"
TerrorEnemy,"TerrorEnemy"
TerrorFlash,"TerrorFlash"
TerrorHorse_00,"TerrorHorse_00"
TerrorHorse_01,"TerrorHorse_01"
TerrorHorse_02,"TerrorHorse_02"
TerrorExplosion,"TerrorExplosion"
ClearTerrorEnemy,"ClearTerrorEnemy"
TerrorSword_00,"TerrorSword_00"
TerrorSword_01,"TerrorSword_01"
TerrorSword_02,"TerrorSword_02"
RideSeatCower,"RideSeatCower"
TerrorFire,"TerrorFire"
Talk2000,"Talk2000"
TerrorBomb_00,"TerrorBomb_00"
RideSeatDrown,"RideSeatDrown"
TerrorBomb_01,"TerrorBomb_01"
TerrorBomb_02,"TerrorBomb_02"
TerrorInsect,"TerrorInsect"
Near0003,"Near0003"
Talk0002,"Talk0002"
Near0004,"Near0004"
Talk0003,"Talk0003"
Near0005,"Near0005"
Talk0004,"Talk0004"
Near0006,"Near0006"
Talk0005,"Talk0005"
Near0007,"Near0007"
Talk0006,"Talk0006"
TerrorArrow_00,"TerrorArrow_00"
Near0008,"Near0008"
Talk2008,"Talk2008"
Talk0007,"Talk0007"
TerrorArrow_01,"TerrorArrow_01"
Talk2009,"Talk2009"
Talk0008,"Talk0008"
TerrorArrow_02,"TerrorArrow_02"
Talk2010,"Talk2010"
Talk0009,"Talk0009"
TerrorGeneric_00,"TerrorGeneric_00"
Talk0010,"Talk0010"
TerrorGeneric_01,"TerrorGeneric_01"
TerrorIce,"TerrorIce"
TerrorGeneric_02,"TerrorGeneric_02"
TerrorLightning_00,"TerrorLightning_00"
TerrorAnimal,"TerrorAnimal"
