Label,String
Talk_0020,"Talk_0020"
Talk_0010,"Talk_0010"
Talk_0021,"Talk_0021"
Talk_0011,"Talk_0011"
Talk_0002,"Talk_0002"
0004,"0004"
Talk_0023,"Talk_0023"
Talk_0013,"Talk_0013"
Talk_0003,"Talk_0003"
0005,"0005"
Talk_0024,"Talk_0024"
Talk_0014,"Talk_0014"
Talk_0015,"Talk_0015"
Talk_0005,"Talk_0005"
Talk_0025,"Talk_0025"
Talk_0026,"Talk_0026"
Near_0001,"Near_0001"
Talk_0027,"Talk_0027"
Talk_0017,"Talk_0017"
Talk_0008,"Talk_0008"
Near_0002,"Near_0002"
Talk_0019,"Talk_0019"
Talk_0009,"Talk_0009"
Near_0003,"Near_0003"
