Label,String
talk0001,"talk0001"
talk0014,"talk0014"
SunaTalk00,"SunaTalk00"
talk0002,"talk0002"
talk0015,"talk0015"
SunaTalk01,"SunaTalk01"
near0000,"near0000"
talk0003,"talk0003"
SunaTalk02,"SunaTalk02"
talk0004,"talk0004"
SunaTalk03,"SunaTalk03"
near0002,"near0002"
talk0005,"talk0005"
SunaTalk04,"SunaTalk04"
near0003,"near0003"
talk0006,"talk0006"
talk0007,"talk0007"
0010,"0010"
talk0008,"talk0008"
0011,"0011"
SunaTalk07,"SunaTalk07"
0012,"0012"
Talk_11,"Talk_11"
Talk_12,"Talk_12"
0000,"0000"
Talk_13,"Talk_13"
0001,"0001"
0015,"0015"
0003,"0003"
0004,"0004"
0005,"0005"
talk0000,"talk0000"
talk0013,"talk0013"
