Label,String
Talk_0008,"Talk_0008"
Talk_0037,"Talk_0037"
Talk_0038,"Talk_0038"
Talk_0009,"Talk_0009"
Talk_0039,"Talk_0039"
Talk_0010,"Talk_0010"
Near_0001,"Near_0001"
Talk_0011,"Talk_0011"
Near_0002,"Near_0002"
Talk_0041,"Talk_0041"
Talk_0012,"Talk_0012"
Near_0003,"Near_0003"
Talk_0042,"Talk_0042"
Near_0004,"Near_0004"
Talk_0015,"Talk_0015"
Talk_0016,"Talk_0016"
Talk_0047,"Talk_0047"
Talk_0019,"Talk_0019"
Talk_0050,"Talk_0050"
Talk_0051,"Talk_0051"
0000,"0000"
Talk_0023,"Talk_0023"
Talk_0052,"Talk_0052"
0001,"0001"
Talk_0024,"Talk_0024"
Talk_0053,"Talk_0053"
Talk_0054,"Talk_0054"
0002,"0002"
Talk_0025,"Talk_0025"
0003,"0003"
Talk_0026,"Talk_0026"
Talk_0056,"Talk_0056"
Talk_0027,"Talk_0027"
Talk_0057,"Talk_0057"
Talk_0028,"Talk_0028"
0006,"0006"
Talk_0058,"Talk_0058"
Talk_0029,"Talk_0029"
Talk_0001,"Talk_0001"
0007,"0007"
Talk_0059,"Talk_0059"
Talk_0030,"Talk_0030"
Talk_0060,"Talk_0060"
Talk_0031,"Talk_0031"
Talk_0003,"Talk_0003"
Talk_0061,"Talk_0061"
Talk_0032,"Talk_0032"
Talk_0004,"Talk_0004"
Talk_0062,"Talk_0062"
Talk_0033,"Talk_0033"
Talk_0005,"Talk_0005"
Talk_0063,"Talk_0063"
Talk_0006,"Talk_0006"
Talk_0007,"Talk_0007"
Talk_0036,"Talk_0036"
