Label,String
Near04,"Near04"
HorseTake_Talk_011,"HorseTake_Talk_011"
HorseTake_Talk_012,"HorseTake_Talk_012"
Ready_Talk_001,"Ready_Talk_001"
HorseTake_Talk_013,"HorseTake_Talk_013"
Ready_Talk_002,"Ready_Talk_002"
HorseTake_Talk_014,"HorseTake_Talk_014"
Ready_Talk_003,"Ready_Talk_003"
HorseTake_Talk_015,"HorseTake_Talk_015"
HorseTake_Talk_015_01,"HorseTake_Talk_015_01"
Ready_Talk_004,"Ready_Talk_004"
HorseTake_Talk_016,"HorseTake_Talk_016"
HorseTake_Talk_015_02,"HorseTake_Talk_015_02"
Ready_Talk_005,"Ready_Talk_005"
HorseTake_Talk_017,"HorseTake_Talk_017"
HorseTake_Talk_015_03,"HorseTake_Talk_015_03"
Ready_Talk_006,"Ready_Talk_006"
Ready_Talk_007,"Ready_Talk_007"
Ready_Talk_008,"Ready_Talk_008"
Ready_Talk_009,"Ready_Talk_009"
Ready_Talk_010,"Ready_Talk_010"
Ready_Talk_301,"Ready_Talk_301"
HorseTake_Talk_001_00,"HorseTake_Talk_001_00"
0001,"0001"
Ready_Talk_302,"Ready_Talk_302"
Ready_Talk_013,"Ready_Talk_013"
0002,"0002"
Ready_Talk_103_00,"Ready_Talk_103_00"
Ready_Talk_303,"Ready_Talk_303"
Ready_Talk_014,"Ready_Talk_014"
HorseTake_Talk_000_00,"HorseTake_Talk_000_00"
0003,"0003"
Ready_Talk_101,"Ready_Talk_101"
Ready_Talk_304,"Ready_Talk_304"
Ready_Talk_015,"Ready_Talk_015"
Ready_Talk_102,"Ready_Talk_102"
HorseTake_Talk_201,"HorseTake_Talk_201"
Ready_Talk_016,"Ready_Talk_016"
Ready_Talk_103,"Ready_Talk_103"
HorseTake_Talk_202,"HorseTake_Talk_202"
Ready_Talk_017,"Ready_Talk_017"
0006,"0006"
Ready_Talk_104,"Ready_Talk_104"
HorseTake_Talk_203,"HorseTake_Talk_203"
HorseTake_Talk_001,"HorseTake_Talk_001"
Ready_Talk_105,"Ready_Talk_105"
Ready_Talk_106,"Ready_Talk_106"
HorseTake_Talk_011_00,"HorseTake_Talk_011_00"
Ready_Talk_107,"Ready_Talk_107"
Ready_Talk_108,"Ready_Talk_108"
Near01,"Near01"
Ready_Talk_109,"Ready_Talk_109"
Ready_Talk_110,"Ready_Talk_110"
Near03,"Near03"
