Label,String
RicketyDamageUp_Name,"RicketyDamageUp_Name"
RushDamageUp_Name,"RushDamageUp_Name"
CreateWind_Name,"CreateWind_Name"
Miasma_Name,"Miasma_Name"
WaterDamageUp_Name,"WaterDamageUp_Name"
ShatterLevelUp_Name,"ShatterLevelUp_Name"
DefeatMiasma_Name,"DefeatMiasma_Name"
HystericalStrength_Name,"HystericalStrength_Name"
StealthAttackUp_Name,"StealthAttackUp_Name"
ZonauDamageUp_Name,"ZonauDamageUp_Name"
ChargeSpeedUp_Name,"ChargeSpeedUp_Name"
AttachmentDamageUp_Name,"AttachmentDamageUp_Name"
Reuse_Name,"Reuse_Name"
DecreaseChargeAttackStamina_Name,"DecreaseChargeAttackStamina_Name"
HighDurability_Name,"HighDurability_Name"
Katana_Name,"Katana_Name"
