Label,String
Talk22,"Talk22"
Talk35,"Talk35"
Near03,"Near03"
Talk23,"Talk23"
Near04,"Near04"
Talk10,"Talk10"
Talk36,"Talk36"
Talk11,"Talk11"
Talk37,"Talk37"
Talk12,"Talk12"
Talk38,"Talk38"
Talk13,"Talk13"
Talk26,"Talk26"
Talk39,"Talk39"
Talk01,"Talk01"
Talk14,"Talk14"
Talk27,"Talk27"
Talk28,"Talk28"
Talk15,"Talk15"
Talk03,"Talk03"
0012,"0012"
Talk16,"Talk16"
0013,"0013"
Talk19,"Talk19"
0003,"0003"
0004,"0004"
Talk08,"Talk08"
Talk09,"Talk09"
0006,"0006"
0007,"0007"
Talk40,"Talk40"
Talk41,"Talk41"
Talk30,"Talk30"
Talk31,"Talk31"
Talk32,"Talk32"
Near01,"Near01"
Talk20,"Talk20"
Talk33,"Talk33"
