Label,String
CreateArmor_08,"CreateArmor_08"
0001,"0001"
CreateArmor_48,"CreateArmor_48"
0002,"0002"
CreateArmor_08_01,"CreateArmor_08_01"
CreateArmor_20,"CreateArmor_20"
CreateArmor_40,"CreateArmor_40"
CreateArmor_40_01,"CreateArmor_40_01"
CreateArmor_01,"CreateArmor_01"
CreateArmor_02,"CreateArmor_02"
CreateArmor_22,"CreateArmor_22"
CreateArmor_23,"CreateArmor_23"
CreateArmor_24,"CreateArmor_24"
CreateArmor_44,"CreateArmor_44"
CreateArmor_44_2,"CreateArmor_44_2"
CreateArmor_near00,"CreateArmor_near00"
CreateArmor_02_01,"CreateArmor_02_01"
CreateArmor_05,"CreateArmor_05"
CreateArmor_06,"CreateArmor_06"
CreateArmor_near01,"CreateArmor_near01"
CreateArmor_46,"CreateArmor_46"
0000,"0000"
CreateArmor_47,"CreateArmor_47"
