Label,String
Talk_01,"Talk_01"
Talk_14,"Talk_14"
Talk_02,"Talk_02"
Talk_03,"Talk_03"
Talk_04,"Talk_04"
Talk_17,"Talk_17"
Talk_05,"Talk_05"
Talk_18,"Talk_18"
Talk_06,"Talk_06"
Talk_19,"Talk_19"
Talk_08,"Talk_08"
Talk_50,"Talk_50"
Near_01,"Near_01"
Talk_09,"Talk_09"
Talk_51,"Talk_51"
Near_02,"Near_02"
Talk_52,"Talk_52"
Talk_40,"Talk_40"
Talk_41,"Talk_41"
Talk_42,"Talk_42"
Talk_43,"Talk_43"
Talk_31,"Talk_31"
Talk_44,"Talk_44"
Talk_32,"Talk_32"
Talk_45,"Talk_45"
Talk_20,"Talk_20"
Talk_47,"Talk_47"
Talk_48,"Talk_48"
Talk_22,"Talk_22"
Talk_36,"Talk_36"
Talk_23,"Talk_23"
Talk_49,"Talk_49"
Talk_24,"Talk_24"
Talk_37,"Talk_37"
Talk_12,"Talk_12"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_39,"Talk_39"
Talk_13,"Talk_13"
