Label,String
Dm_ZE_0007_Text_003_b,"Dm_ZE_0007_Text_003_b"
Dm_ZE_0007_Text_022_c,"Dm_ZE_0007_Text_022_c"
Dm_ZE_0007_Text_031_b,"Dm_ZE_0007_Text_031_b"
Dm_ZE_0007_Text_012_c,"Dm_ZE_0007_Text_012_c"
Dm_ZE_0007_Text_001_b,"Dm_ZE_0007_Text_001_b"
Dm_ZE_0007_Text_029_b,"Dm_ZE_0007_Text_029_b"
Dm_ZE_0007_Text_001_c,"Dm_ZE_0007_Text_001_c"
Dm_ZE_0007_Text_010_b,"Dm_ZE_0007_Text_010_b"
Dm_ZE_0007_Text_038_b,"Dm_ZE_0007_Text_038_b"
Dm_ZE_0007_Text_046_b,"Dm_ZE_0007_Text_046_b"
Dm_ZE_0007_Text_027_b,"Dm_ZE_0007_Text_027_b"
Dm_ZE_0007_Text_008_b,"Dm_ZE_0007_Text_008_b"
Dm_ZE_0007_Text_027_c,"Dm_ZE_0007_Text_027_c"
Dm_ZE_0007_Text_036_b,"Dm_ZE_0007_Text_036_b"
Dm_ZE_0007_Text_044_b,"Dm_ZE_0007_Text_044_b"
Dm_ZE_0007_Text_015_ab,"Dm_ZE_0007_Text_015_ab"
Dm_ZE_0007_Text_025_b,"Dm_ZE_0007_Text_025_b"
Dm_ZE_0007_Text_006_b,"Dm_ZE_0007_Text_006_b"
Dm_ZE_0007_Text_034_b,"Dm_ZE_0007_Text_034_b"
Dm_ZE_0007_Text_042_b,"Dm_ZE_0007_Text_042_b"
Dm_ZE_0007_Text_015_c,"Dm_ZE_0007_Text_015_c"
Dm_ZE_0007_Text_023_b,"Dm_ZE_0007_Text_023_b"
Dm_ZE_0007_Text_004_b,"Dm_ZE_0007_Text_004_b"
Dm_ZE_0007_Text_032_b,"Dm_ZE_0007_Text_032_b"
Dm_ZE_0007_Text_009_baaab,"Dm_ZE_0007_Text_009_baaab"
Dm_ZE_0007_Text_011_ab,"Dm_ZE_0007_Text_011_ab"
Dm_ZE_0007_Text_013_b,"Dm_ZE_0007_Text_013_b"
Dm_ZE_0007_Text_040_b,"Dm_ZE_0007_Text_040_b"
Dm_ZE_0007_Text_001_bb,"Dm_ZE_0007_Text_001_bb"
Dm_ZE_0007_Text_002_b,"Dm_ZE_0007_Text_002_b"
Dm_ZE_0007_Text_030_b,"Dm_ZE_0007_Text_030_b"
Dm_ZE_0007_Text_011_b,"Dm_ZE_0007_Text_011_b"
Dm_ZE_0007_Text_039_b,"Dm_ZE_0007_Text_039_b"
Dm_ZE_0007_Text_039_c,"Dm_ZE_0007_Text_039_c"
Dm_ZE_0007_Text_000_b,"Dm_ZE_0007_Text_000_b"
Dm_ZE_0007_Text_028_b,"Dm_ZE_0007_Text_028_b"
Dm_ZE_0007_Text_002_ab,"Dm_ZE_0007_Text_002_ab"
Dm_ZE_0007_Text_009_b,"Dm_ZE_0007_Text_009_b"
Dm_ZE_0007_Text_037_b,"Dm_ZE_0007_Text_037_b"
Dm_ZE_0007_Text_009_bab,"Dm_ZE_0007_Text_009_bab"
Dm_ZE_0007_Text_009_c,"Dm_ZE_0007_Text_009_c"
Dm_ZE_0007_Text_045_b,"Dm_ZE_0007_Text_045_b"
Dm_ZE_0007_Text_009_baab,"Dm_ZE_0007_Text_009_baab"
Dm_ZE_0007_Text_009_bb,"Dm_ZE_0007_Text_009_bb"
Dm_ZE_0007_Text_026_b,"Dm_ZE_0007_Text_026_b"
Dm_ZE_0007_Text_007_b,"Dm_ZE_0007_Text_007_b"
Dm_ZE_0007_Text_035_b,"Dm_ZE_0007_Text_035_b"
Dm_ZE_0007_Text_043_b,"Dm_ZE_0007_Text_043_b"
Dm_ZE_0007_Text_024_b,"Dm_ZE_0007_Text_024_b"
Dm_ZE_0007_Text_005_b,"Dm_ZE_0007_Text_005_b"
Dm_ZE_0007_Text_033_b,"Dm_ZE_0007_Text_033_b"
Dm_ZE_0007_Text_014_b,"Dm_ZE_0007_Text_014_b"
Dm_ZE_0007_Text_033_c,"Dm_ZE_0007_Text_033_c"
Dm_ZE_0007_Text_041_b,"Dm_ZE_0007_Text_041_b"
