Label,String
Talk_22,"Talk_22"
Talk_05,"Talk_05"
Talk_23,"Talk_23"
Talk_06,"Talk_06"
Talk_24,"Talk_24"
Talk_07,"Talk_07"
Talk_25,"Talk_25"
Talk_08,"Talk_08"
Talk_26,"Talk_26"
Talk_09,"Talk_09"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_10,"Talk_10"
Talk_29,"Talk_29"
Talk_11,"Talk_11"
Talk_12,"Talk_12"
Talk_30,"Talk_30"
Talk_13,"Talk_13"
Talk_14,"Talk_14"
Talk_15,"Talk_15"
Talk_33,"Talk_33"
Talk_16,"Talk_16"
Talk_34,"Talk_34"
Talk_17,"Talk_17"
Near_01,"Near_01"
Talk_18,"Talk_18"
0010,"0010"
Talk_35,"Talk_35"
Near_02,"Near_02"
Talk_01,"Talk_01"
0011,"0011"
Talk_02,"Talk_02"
0012,"0012"
Talk_03,"Talk_03"
0013,"0013"
Talk_21,"Talk_21"
Talk_04,"Talk_04"
