Label,String
Talk0025,"Talk0025"
Talk0038,"Talk0038"
Talk0013,"Talk0013"
Talk0026,"Talk0026"
Talk0039,"Talk0039"
Talk0027,"Talk0027"
Talk0014,"Talk0014"
Talk0028,"Talk0028"
Talk0015,"Talk0015"
Talk0002,"Talk0002"
Talk0029,"Talk0029"
Talk0016,"Talk0016"
Talk0017,"Talk0017"
Talk0040,"Talk0040"
Talk0018,"Talk0018"
Talk0041,"Talk0041"
Talk0042,"Talk0042"
Talk0007,"Talk0007"
Talk0030,"Talk0030"
Talk0043,"Talk0043"
Near_1001,"Near_1001"
Talk0031,"Talk0031"
Talk0044,"Talk0044"
Near_1003,"Near_1003"
Talk0032,"Talk0032"
Talk0045,"Talk0045"
Talk0046,"Talk0046"
0004,"0004"
Talk0022,"Talk0022"
0005,"0005"
Talk0036,"Talk0036"
Talk0024,"Talk0024"
Talk0037,"Talk0037"
