Label,String
Talk_09,"Talk_09"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
Talk_20,"Talk_20"
Talk_33,"Talk_33"
Talk_10,"Talk_10"
Talk_23,"Talk_23"
Talk_36,"Talk_36"
Talk_11,"Talk_11"
Talk_24,"Talk_24"
Talk_37,"Talk_37"
Talk_25,"Talk_25"
0000,"0000"
Talk_12,"Talk_12"
Talk_26,"Talk_26"
Talk_00,"Talk_00"
0001,"0001"
Talk_13,"Talk_13"
Talk_27,"Talk_27"
Talk_14,"Talk_14"
Talk_02,"Talk_02"
Talk_28,"Talk_28"
Talk_15,"Talk_15"
Talk_03,"Talk_03"
Talk_16,"Talk_16"
Near_00,"Near_00"
Talk_17,"Talk_17"
Talk_05,"Talk_05"
Talk_18,"Talk_18"
Near_02,"Near_02"
Talk_06,"Talk_06"
Talk_19,"Talk_19"
