Label,String
Talk_1004,"Talk_1004"
Talk_6015,"Talk_6015"
Near_6000,"Near_6000"
Talk_6002,"Talk_6002"
Talk_7006,"Talk_7006"
Talk_1005,"Talk_1005"
Talk_6016,"Talk_6016"
Talk_7007,"Talk_7007"
Talk_8000,"Talk_8000"
Talk_1006,"Talk_1006"
Talk_6004,"Talk_6004"
Talk_6017,"Talk_6017"
Talk_8001,"Talk_8001"
Talk_6018,"Talk_6018"
Talk_6006,"Talk_6006"
Talk_6019,"Talk_6019"
Talk_1009,"Talk_1009"
Talk_6007,"Talk_6007"
Talk_6009,"Talk_6009"
0001,"0001"
Talk_6020,"Talk_6020"
0006,"0006"
Talk_1010,"Talk_1010"
Talk_6021,"Talk_6021"
0007,"0007"
Talk_7000,"Talk_7000"
Talk_6010,"Talk_6010"
Talk_1000,"Talk_1000"
Talk_6011,"Talk_6011"
Talk_7002,"Talk_7002"
Near_7000,"Near_7000"
Talk_1001,"Talk_1001"
Talk_6012,"Talk_6012"
Near_7001,"Near_7001"
Talk_7003,"Talk_7003"
Near_1000,"Near_1000"
Talk_6000,"Talk_6000"
Talk_7004,"Talk_7004"
Near_1001,"Near_1001"
Talk_6001,"Talk_6001"
Talk_7005,"Talk_7005"
