Label,String
Talk_07,"Talk_07"
Talk_08,"Talk_08"
Near_05,"Near_05"
Talk_09,"Talk_09"
Near_06,"Near_06"
WakkaCharm,"WakkaCharm"
LargeHorse,"LargeHorse"
Near_08,"Near_08"
Near_09,"Near_09"
Talk_22,"Talk_22"
Talk_10,"Talk_10"
Talk_23,"Talk_23"
Talk_11,"Talk_11"
BoneHorse,"BoneHorse"
0001,"0001"
Talk_13,"Talk_13"
Talk_01,"Talk_01"
0002,"0002"
Near_11,"Near_11"
Talk_02,"Talk_02"
0003,"0003"
Talk_03,"Talk_03"
Talk_16,"Talk_16"
GoldHorse,"GoldHorse"
Talk_17,"Talk_17"
Talk_04,"Talk_04"
Near_01,"Near_01"
NakedPlayer,"NakedPlayer"
Talk_05,"Talk_05"
Talk_18,"Talk_18"
Near_02,"Near_02"
Talk_19,"Talk_19"
