Label,String
Register36,"Register36"
Talk8070,"Talk8070"
Talk23,"Talk23"
Com_Photo_07,"Com_Photo_07"
Register37,"Register37"
Talk8071,"Talk8071"
Talk24,"Talk24"
Com_Photo_08,"Com_Photo_08"
Talk25,"Talk25"
0030,"0030"
Register38,"Register38"
Talk8072,"Talk8072"
Talk9017,"Talk9017"
Explain1001,"Explain1001"
7010,"7010"
Com_Photo_09,"Com_Photo_09"
0031,"0031"
Talk26,"Talk26"
Talk9018,"Talk9018"
7011,"7011"
DoNotWakka_01,"DoNotWakka_01"
0032,"0032"
Talk8074,"Talk8074"
Talk27,"Talk27"
Explain1003,"Explain1003"
7012,"7012"
DoNotWakka_02,"DoNotWakka_02"
0033,"0033"
Talk28,"Talk28"
Explain1004,"Explain1004"
Explain1005,"Explain1005"
7014,"7014"
KyoukaiTalk03,"KyoukaiTalk03"
Talk8077,"Talk8077"
Explain1006,"Explain1006"
7015,"7015"
KyoukaiTalk04,"KyoukaiTalk04"
0036,"0036"
Talk8078,"Talk8078"
Explain1007,"Explain1007"
7016,"7016"
KyoukaiTalk05,"KyoukaiTalk05"
0037,"0037"
Explain1008,"Explain1008"
Talk8022,"Talk8022"
Explain1009,"Explain1009"
7018,"7018"
Com_FirstTime_Only01,"Com_FirstTime_Only01"
Import01,"Import01"
Talk8023,"Talk8023"
Com_FirstTime_Only02,"Com_FirstTime_Only02"
Talk9030,"Talk9030"
Receive02,"Receive02"
Import02,"Import02"
Talk8024,"Talk8024"
Com_FirstTime_Only03,"Com_FirstTime_Only03"
Receive03,"Receive03"
Talk9031,"Talk9031"
Talk9032,"Talk9032"
Import04,"Import04"
Receive05,"Receive05"
Import05,"Import05"
Talk8028,"Talk8028"
Talk9035,"Talk9035"
Reaction_0001,"Reaction_0001"
Talk9036,"Talk9036"
Explain1020,"Explain1020"
0050,"0050"
Register00,"Register00"
Talk510,"Talk510"
Talk9037,"Talk9037"
Explain1021,"Explain1021"
Reaction_0003,"Reaction_0003"
0051,"0051"
Register01,"Register01"
Talk511,"Talk511"
Talk9038,"Talk9038"
Explain1022,"Explain1022"
Reaction_0004,"Reaction_0004"
0052,"0052"
Register02,"Register02"
