Label,String
CarrotGarden_Npc_Kakariko006_Water_03,"CarrotGarden_Npc_Kakariko006_Water_03"
PumpkinGarden_Npc_Kakariko006_Water_03,"PumpkinGarden_Npc_Kakariko006_Water_03"
TerrorGeneric,"TerrorGeneric"
CarrotGarden_Npc_Kakariko006_Water_04,"CarrotGarden_Npc_Kakariko006_Water_04"
PumpkinGarden_Npc_Kakariko006_Water_04,"PumpkinGarden_Npc_Kakariko006_Water_04"
TerrorEnemy,"TerrorEnemy"
ReturnHome_01,"ReturnHome_01"
talk24,"talk24"
ReturnHome_02,"ReturnHome_02"
TerrorSword,"TerrorSword"
NakedPlayer,"NakedPlayer"
talk25,"talk25"
ReturnHome_03,"ReturnHome_03"
near00,"near00"
talk26,"talk26"
near01,"near01"
near02,"near02"
TerrorHorse,"TerrorHorse"
near03,"near03"
talk00,"talk00"
TerrorImpulse,"TerrorImpulse"
TerrorFire,"TerrorFire"
near04,"near04"
talk01,"talk01"
talk30,"talk30"
talk02,"talk02"
talk31,"talk31"
talk03,"talk03"
0002,"0002"
talk32,"talk32"
Talk_Greeting_01,"Talk_Greeting_01"
talk04,"talk04"
Talk_Greeting_02,"Talk_Greeting_02"
talk05,"talk05"
0004,"0004"
Talk_Greeting_03,"Talk_Greeting_03"
0005,"0005"
talk06,"talk06"
Talk_Greeting_04,"Talk_Greeting_04"
0006,"0006"
Talk_Greeting_05,"Talk_Greeting_05"
near11,"near11"
TerrorArrow,"TerrorArrow"
talk10,"talk10"
talk11,"talk11"
talk12,"talk12"
talk13,"talk13"
CarrotGarden_Npc_Kakariko006_Water_01,"CarrotGarden_Npc_Kakariko006_Water_01"
TerrorIce,"TerrorIce"
TerrorBomb,"TerrorBomb"
