Label,String
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_29,"Talk_29"
Com_Talk_13,"Com_Talk_13"
Com_Talk_14,"Com_Talk_14"
Com_Talk_15,"Com_Talk_15"
Com_Talk_16,"Com_Talk_16"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
0000,"0000"
0001,"0001"
Talk_13,"Talk_13"
Talk_14,"Talk_14"
0002,"0002"
Talk_15,"Talk_15"
Com_Talk_33,"Com_Talk_33"
0004,"0004"
Talk_16,"Talk_16"
Com_Talk_05b,"Com_Talk_05b"
0005,"0005"
Talk_17,"Talk_17"
ShopBefore,"ShopBefore"
ShopAfter,"ShopAfter"
Com_Talk_00,"Com_Talk_00"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_35,"Com_Talk_35"
0006,"0006"
Com_Talk_01,"Com_Talk_01"
Com_Talk_05d,"Com_Talk_05d"
Talk_19,"Talk_19"
Com_Talk_02,"Com_Talk_02"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Talk_33,"Talk_33"
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_05,"Com_Talk_05"
Talk_34,"Talk_34"
NakedPlayer,"NakedPlayer"
Com_Talk_02d,"Com_Talk_02d"
5500,"5500"
Talk_00,"Talk_00"
Talk_35,"Talk_35"
Com_Talk_53,"Com_Talk_53"
5501,"5501"
Talk_36,"Talk_36"
Talk_01,"Talk_01"
Talk_37,"Talk_37"
Talk_02,"Talk_02"
Com_Talk_55,"Com_Talk_55"
5503,"5503"
Talk_38,"Talk_38"
Talk_04,"Talk_04"
Talk_39,"Talk_39"
Talk_05,"Talk_05"
Talk_06,"Talk_06"
5508,"5508"
Talk_08,"Talk_08"
Talk_20,"Talk_20"
Talk_09,"Talk_09"
