Label,String
Com_Talk_14,"Com_Talk_14"
Com_Talk_00,"Com_Talk_00"
Com_Talk_15,"Com_Talk_15"
Com_Talk_01,"Com_Talk_01"
Com_Talk_16,"Com_Talk_16"
Com_Talk_02,"Com_Talk_02"
Com_Talk_04,"Com_Talk_04"
Com_Talk_05,"Com_Talk_05"
5500,"5500"
5501,"5501"
Talk_24,"Talk_24"
5502,"5502"
5503,"5503"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
talk1030,"talk1030"
near1000,"near1000"
talk1031,"talk1031"
near1001,"near1001"
5507,"5507"
near1002,"near1002"
5508,"5508"
near1003,"near1003"
talk1020,"talk1020"
near1004,"near1004"
talk1021,"talk1021"
talk1022,"talk1022"
Com_Talk_05b,"Com_Talk_05b"
talk1023,"talk1023"
Com_Talk_05c,"Com_Talk_05c"
AssassinClothes,"AssassinClothes"
talk1024,"talk1024"
Com_Talk_05d,"Com_Talk_05d"
talk1010,"talk1010"
0010,"0010"
talk1025,"talk1025"
Com_Talk_50,"Com_Talk_50"
talk1011,"talk1011"
0011,"0011"
talk1026,"talk1026"
Talk_08,"Talk_08"
talk1012,"talk1012"
0012,"0012"
Com_Talk_52,"Com_Talk_52"
Talk_09,"Talk_09"
0013,"0013"
talk1028,"talk1028"
talk1013,"talk1013"
Com_Talk_53,"Com_Talk_53"
talk1014,"talk1014"
0014,"0014"
talk1029,"talk1029"
Com_Talk_54,"Com_Talk_54"
talk1000,"talk1000"
0015,"0015"
Com_Talk_55,"Com_Talk_55"
talk1001,"talk1001"
talk1016,"talk1016"
0016,"0016"
Com_Talk_56,"Com_Talk_56"
talk1017,"talk1017"
0017,"0017"
talk1002,"talk1002"
talk1003,"talk1003"
talk1018,"talk1018"
0018,"0018"
talk1019,"talk1019"
talk1004,"talk1004"
0019,"0019"
talk1005,"talk1005"
0006,"0006"
talk1006,"talk1006"
Com_Talk_31,"Com_Talk_31"
0007,"0007"
talk1007,"talk1007"
Com_Talk_02b,"Com_Talk_02b"
talk1008,"talk1008"
0008,"0008"
Com_Talk_33,"Com_Talk_33"
Com_Talk_02c,"Com_Talk_02c"
0009,"0009"
talk1009,"talk1009"
Com_Talk_34,"Com_Talk_34"
Com_Talk_02d,"Com_Talk_02d"
Com_Talk_35,"Com_Talk_35"
Com_Talk_13,"Com_Talk_13"
