Label,String
Talk67,"Talk67"
Talk32,"Talk32"
Talk68,"Talk68"
Talk33,"Talk33"
Talk69,"Talk69"
Talk_58,"Talk_58"
1001,"1001"
Talk_59,"Talk_59"
Talk36,"Talk36"
Talk01_20,"Talk01_20"
1002,"1002"
Balloon01,"Balloon01"
Balloon02,"Balloon02"
Talk52,"Talk52"
Balloon03,"Balloon03"
Talk53,"Talk53"
Balloon04,"Balloon04"
Talk54,"Talk54"
Item_Plant_R_Kakariko008_Angry,"Item_Plant_R_Kakariko008_Angry"
Talk09,"Talk09"
Talk55,"Talk55"
Talk20,"Talk20"
Talk56,"Talk56"
Balloon06,"Balloon06"
Talk21,"Talk21"
Item_Plant_R_Kakariko008_Angry_02,"Item_Plant_R_Kakariko008_Angry_02"
Talk57,"Talk57"
Talk22,"Talk22"
Item_Plant_R_Kakariko008_Angry_03,"Item_Plant_R_Kakariko008_Angry_03"
Talk58,"Talk58"
Talk23,"Talk23"
Talk70,"Talk70"
Talk24,"Talk24"
Talk59,"Talk59"
Talk71,"Talk71"
Talk_60,"Talk_60"
Item_Plant_R_Kakariko008_Angry_06,"Item_Plant_R_Kakariko008_Angry_06"
Talk_61,"Talk_61"
Item_Plant_R_Kakariko008_Angry_07,"Item_Plant_R_Kakariko008_Angry_07"
0004,"0004"
Talk28,"Talk28"
0005,"0005"
Talk01_12,"Talk01_12"
0006,"0006"
0007,"0007"
0008,"0008"
0009,"0009"
Talk44,"Talk44"
Talk10,"Talk10"
Talk11,"Talk11"
Talk12,"Talk12"
Talk47,"Talk47"
Talk60,"Talk60"
Talk61,"Talk61"
Talk62,"Talk62"
Talk63,"Talk63"
Talk17,"Talk17"
PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_01,"PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_01"
Talk18,"Talk18"
Talk65,"Talk65"
Talk19,"Talk19"
PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_03,"PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_03"
Talk31,"Talk31"
Talk66,"Talk66"
PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_04,"PlumGarden_Npc_Umii_Kakariko_Scholar_C_Water_04"
