Label,String
near0002,"near0002"
otsuge000,"otsuge000"
near0003,"near0003"
otsuge001,"otsuge001"
otsuge999,"otsuge999"
talk0010,"talk0010"
near0004,"near0004"
talk19,"talk19"
otsuge002,"otsuge002"
1001,"1001"
talk0011,"talk0011"
near0005,"near0005"
otsuge003,"otsuge003"
otsuge200,"otsuge200"
1002,"1002"
talk0012,"talk0012"
otsuge004,"otsuge004"
otsuge201,"otsuge201"
1003,"1003"
otsuge005,"otsuge005"
1004,"1004"
otsuge006,"otsuge006"
otsuge400,"otsuge400"
talk0000,"talk0000"
talk0015,"talk0015"
otsuge401,"otsuge401"
1006,"1006"
talk0001,"talk0001"
otsuge205,"otsuge205"
talk0017,"talk0017"
talk0002,"talk0002"
1007,"1007"
otsuge206,"otsuge206"
talk0018,"talk0018"
talk0004,"talk0004"
talk0019,"talk0019"
talk0005,"talk0005"
NakedPlayer,"NakedPlayer"
ThunderHelmet,"ThunderHelmet"
talk0007,"talk0007"
talk0008,"talk0008"
talk0009,"talk0009"
AssassinClothes,"AssassinClothes"
0010,"0010"
0011,"0011"
0012,"0012"
talk40,"talk40"
otsuge100,"otsuge100"
talk41,"talk41"
otsuge101,"otsuge101"
talk42,"talk42"
otsuge102,"otsuge102"
talk43,"talk43"
otsuge103,"otsuge103"
talk44,"talk44"
otsuge104,"otsuge104"
talk30,"talk30"
talk45,"talk45"
otsuge105,"otsuge105"
talk31,"talk31"
talk46,"talk46"
otsuge106,"otsuge106"
talk47,"talk47"
talk32,"talk32"
0005,"0005"
talk33,"talk33"
talk48,"talk48"
0006,"0006"
talk34,"talk34"
0007,"0007"
talk35,"talk35"
talk20,"talk20"
otsuge230,"otsuge230"
0008,"0008"
otsuge231,"otsuge231"
0009,"0009"
otsuge900,"otsuge900"
otsuge232,"otsuge232"
talk38,"talk38"
otsuge233,"otsuge233"
talk39,"talk39"
otsuge234,"otsuge234"
otsuge220,"otsuge220"
otsuge235,"otsuge235"
talk26,"talk26"
otsuge236,"otsuge236"
talk27,"talk27"
otsuge237,"otsuge237"
talk28,"talk28"
talk13,"talk13"
talk29,"talk29"
near0000,"near0000"
