Label,String
15001,"15001"
1001,"1001"
1026,"1026"
Pa_SlideList_00-Pa_Category_04-T_Text_00,"Pa_SlideList_00-Pa_Category_04-T_Text_00"
1002,"1002"
1027,"1027"
Pa_Info_00-T_Num_01,"Pa_Info_00-T_Num_01"
1003,"1003"
1028,"1028"
1004,"1004"
5000,"5000"
1005,"1005"
1006,"1006"
Pa_Info_00-Pa_FoodParam_00-T_MaxText_00,"Pa_Info_00-Pa_FoodParam_00-T_MaxText_00"
1008,"1008"
Pa_SlideList_00-Pa_Button_01-T_Btn_00,"Pa_SlideList_00-Pa_Button_01-T_Btn_00"
1009,"1009"
Strength,"Strength"
1007_00,"1007_00"
3030,"3030"
Pa_SlideList_00-Pa_Category_06-T_Text_00,"Pa_SlideList_00-Pa_Category_06-T_Text_00"
Category,"Category"
1007_01,"1007_01"
3031,"3031"
3032,"3032"
Pa_HaveNum_00-T_Slash_00,"Pa_HaveNum_00-T_Slash_00"
13000,"13000"
6000,"6000"
3033,"3033"
3034,"3034"
3010,"3010"
Pa_SlideList_00-Pa_ButtonR_00-T_Icon_00,"Pa_SlideList_00-Pa_ButtonR_00-T_Icon_00"
3011,"3011"
Pa_SlideList_00-Pa_Category_01-T_Text_00,"Pa_SlideList_00-Pa_Category_01-T_Text_00"
3012,"3012"
3013,"3013"
3014,"3014"
Pa_SlideList_00-Pa_SlideListSet_00-Pa_BtnElem_00-T_Kakeru_00,"Pa_SlideList_00-Pa_SlideListSet_00-Pa_BtnElem_00-T_Kakeru_00"
3015,"3015"
3016,"3016"
Pa_SlideList_00-Pa_Category_08-T_Text_00,"Pa_SlideList_00-Pa_Category_08-T_Text_00"
14000,"14000"
3018,"3018"
3019,"3019"
11000,"11000"
SoulSageControls,"SoulSageControls"
4000,"4000"
Pa_SlideList_00-Pa_Category_03-T_Text_00,"Pa_SlideList_00-Pa_Category_03-T_Text_00"
ArmorSet,"ArmorSet"
Pa_Info_00-Pa_FoodParamEnergy_00-T_MaxText_00,"Pa_Info_00-Pa_FoodParamEnergy_00-T_MaxText_00"
1012,"1012"
8000,"8000"
1014,"1014"
1015,"1015"
Pa_SlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_00,"Pa_SlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_00"
Pa_Info_00-T_Plus_00,"Pa_Info_00-T_Plus_00"
1016,"1016"
1017,"1017"
12000,"12000"
BasicControls,"BasicControls"
1018,"1018"
Pa_SlideList_00-Pa_Button_03-T_Btn_00,"Pa_SlideList_00-Pa_Button_03-T_Btn_00"
Pa_Info_00-Pa_KagoParam_00-T_SubText_00,"Pa_Info_00-Pa_KagoParam_00-T_SubText_00"
1019,"1019"
Pa_SlideList_00-Pa_Category_05-T_Text_00,"Pa_SlideList_00-Pa_Category_05-T_Text_00"
Pa_RotateGuide_00-T_Guide_00,"Pa_RotateGuide_00-T_Guide_00"
ArmorCategory,"ArmorCategory"
Pa_SlideList_00-Pa_ButtonL_00-T_Icon_00,"Pa_SlideList_00-Pa_ButtonL_00-T_Icon_00"
2000,"2000"
9000,"9000"
2001,"2001"
9001,"9001"
2002,"2002"
