Label,String
TerrorAnimal_02,"TerrorAnimal_02"
TerrorImpulse_00,"TerrorImpulse_00"
TerrorImpulse_01,"TerrorImpulse_01"
TerrorFire_00,"TerrorFire_00"
TerrorImpulse_02,"TerrorImpulse_02"
TerrorFire_01,"TerrorFire_01"
TerrorIce_00,"TerrorIce_00"
TerrorFire_02,"TerrorFire_02"
TerrorIce_01,"TerrorIce_01"
TerrorIce_02,"TerrorIce_02"
TerrorBomb_00,"TerrorBomb_00"
TerrorBomb_01,"TerrorBomb_01"
TerrorBomb_02,"TerrorBomb_02"
TerrorLightning_00,"TerrorLightning_00"
ClearTerrorEnemy_00,"ClearTerrorEnemy_00"
TerrorLightning_01,"TerrorLightning_01"
ClearTerrorEnemy_01,"ClearTerrorEnemy_01"
ClearTerrorGuardian_00,"ClearTerrorGuardian_00"
TerrorLightning_02,"TerrorLightning_02"
TerrorFlash_00,"TerrorFlash_00"
ClearTerrorEnemy_02,"ClearTerrorEnemy_02"
ClearTerrorGuardian_01,"ClearTerrorGuardian_01"
TerrorSword_00,"TerrorSword_00"
TerrorFlash_01,"TerrorFlash_01"
ClearTerrorGuardian_02,"ClearTerrorGuardian_02"
TerrorSword_01,"TerrorSword_01"
TerrorInsect_00,"TerrorInsect_00"
TerrorFlash_02,"TerrorFlash_02"
Banana_00,"Banana_00"
TerrorSword_02,"TerrorSword_02"
TerrorArrow_00,"TerrorArrow_00"
TerrorExplosion_00,"TerrorExplosion_00"
TerrorInsect_01,"TerrorInsect_01"
Banana_01,"Banana_01"
TerrorArrow_01,"TerrorArrow_01"
TerrorExplosion_01,"TerrorExplosion_01"
TerrorInsect_02,"TerrorInsect_02"
Banana_02,"Banana_02"
TerrorArrow_02,"TerrorArrow_02"
TerrorExplosion_02,"TerrorExplosion_02"
ThunderHelmet_00,"ThunderHelmet_00"
TerrorGeneric_00,"TerrorGeneric_00"
TerrorEnemy_00,"TerrorEnemy_00"
TerrorGuardian_00,"TerrorGuardian_00"
ThunderHelmet_01,"ThunderHelmet_01"
TerrorGeneric_01,"TerrorGeneric_01"
TerrorEnemy_01,"TerrorEnemy_01"
TerrorGuardian_01,"TerrorGuardian_01"
ThunderHelmet_02,"ThunderHelmet_02"
TerrorGeneric_02,"TerrorGeneric_02"
TerrorEnemy_02,"TerrorEnemy_02"
TerrorGuardian_02,"TerrorGuardian_02"
TerrorHorse_00,"TerrorHorse_00"
AssassinVehicle_00,"AssassinVehicle_00"
TerrorHorse_01,"TerrorHorse_01"
AssassinVehicle_01,"AssassinVehicle_01"
TerrorHorse_02,"TerrorHorse_02"
TerrorAnimal_00,"TerrorAnimal_00"
AssassinVehicle_02,"AssassinVehicle_02"
TerrorAnimal_01,"TerrorAnimal_01"
